test_file,m,n,algorithm,Cmax,runtime_sec
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case87.txt,3,10,GA,22,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case189.txt,3,10,IP,19.999995997895898,11.58
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case189.txt,3,10,GA,20,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case176.txt,3,10,IP,21.0,0.37
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case176.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case162.txt,3,10,IP,20.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case162.txt,3,10,GA,20,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case200.txt,3,10,IP,23.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case200.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case163.txt,3,10,IP,19.99999999789998,0.15
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case163.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case177.txt,3,10,IP,24.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case177.txt,3,10,GA,24,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case188.txt,3,10,IP,20.0,0.07
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case188.txt,3,10,GA,22,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case86.txt,3,10,IP,27.0,0.06
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case86.txt,3,10,GA,27,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case92.txt,3,10,IP,18.999996999997084,9.38
